|                 v                 |                   col1                    |
+-----------------------------------+-------------------------------------------+
| user_input                        | Variable violates Hungarian naming rules. |
| secret                            | Variable violates Hungarian naming rules. |
| bad_ptr                           | Variable violates Hungarian naming rules. |
| db                                | Variable violates Hungarian naming rules. |
| init_sql                          | Variable violates Hungarian naming rules. |
| xml                               | Variable violates Hungarian naming rules. |
| root                              | Variable violates Hungarian naming rules. |
| secret_env                        | Variable violates Hungarian naming rules. |
| curl                              | Variable violates Hungarian naming rules. |
| fd                                | Variable violates Hungarian naming rules. |
| fd                                | Variable violates Hungarian naming rules. |
| f                                 | Variable violates Hungarian naming rules. |
| errMsg                            | Variable violates Hungarian naming rules. |
| i                                 | Variable violates Hungarian naming rules. |
| qs                                | Variable violates Hungarian naming rules. |
| end                               | Variable violates Hungarian naming rules. |
| i                                 | Variable violates Hungarian naming rules. |
| buf                               | Variable violates Hungarian naming rules. |
| x                                 | Variable violates Hungarian naming rules. |
| gp_offset                         | Variable violates Hungarian naming rules. |
| fp_offset                         | Variable violates Hungarian naming rules. |
| overflow_arg_area                 | Variable violates Hungarian naming rules. |
| reg_save_area                     | Variable violates Hungarian naming rules. |
| __count                           | Variable violates Hungarian naming rules. |
| __wch                             | Variable violates Hungarian naming rules. |
| _mode                             | Variable violates Hungarian naming rules. |
| _freeres_buf                      | Variable violates Hungarian naming rules. |
| _freeres_list                     | Variable violates Hungarian naming rules. |
| _wide_data                        | Variable violates Hungarian naming rules. |
| _codecvt                          | Variable violates Hungarian naming rules. |
| _lock                             | Variable violates Hungarian naming rules. |
| _flags2                           | Variable violates Hungarian naming rules. |
| _fileno                           | Variable violates Hungarian naming rules. |
| _chain                            | Variable violates Hungarian naming rules. |
| _markers                          | Variable violates Hungarian naming rules. |
| _IO_save_end                      | Variable violates Hungarian naming rules. |
| _IO_backup_base                   | Variable violates Hungarian naming rules. |
| _IO_save_base                     | Variable violates Hungarian naming rules. |
| _IO_buf_end                       | Variable violates Hungarian naming rules. |
| _IO_buf_base                      | Variable violates Hungarian naming rules. |
| _IO_write_end                     | Variable violates Hungarian naming rules. |
